[graph] 63905 segments Overture
[graph] 73034 arêtes, 61085 nœuds (34804 segments exclus)
[route] plus court chemin : 7415 m, pente max 9.3%
[route] palier +42% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [1362 plus courts chemins]
[route] palier +43% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [1394 plus courts chemins]
[route] palier +44% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [1426 plus courts chemins]
[route] palier +45% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [1458 plus courts chemins]
[route] palier +46% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [1490 plus courts chemins]
[route] palier +47% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [1522 plus courts chemins]
[route] palier +48% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [1554 plus courts chemins]
[route] palier +49% : 11008 m (+48.5%), pente max 6.5%, raide 37 m, D+ 99 m, douceur 428  [1587 plus courts chemins]
[route] palier +50% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376  [1619 plus courts chemins]
[route] palier +51% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376 — identique au palier +50%  [1651 plus courts chemins]
[route] palier +52% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376 — identique au palier +50%  [1683 plus courts chemins]
[route] palier +53% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376 — identique au palier +50%  [1715 plus courts chemins]
[route] palier +54% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376 — identique au palier +50%  [1747 plus courts chemins]
[route] palier +55% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376 — identique au palier +50%  [1779 plus courts chemins]
[route] palier +56% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376 — identique au palier +50%  [1811 plus courts chemins]
[route] palier +57% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376 — identique au palier +50%  [1843 plus courts chemins]
[route] palier +58% : 11077 m (+49.4%), pente max 5.8%, raide 0 m, D+ 99 m, douceur 376 — identique au palier +50%  [1875 plus courts chemins]
